Unnamed: 0,type,age,gender,size,coat,breed
151,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
152,Abyssinian,American Shorthair,American Bobtail,American Curl,American Curl,Abyssinian
153,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,Abyssinian
154,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
155,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
156,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
157,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
158,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
159,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
160,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
161,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
162,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
163,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
164,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,Abyssinian
165,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
166,Abyssinian,American Curl,American Bobtail,American Shorthair,American Shorthair,Abyssinian
167,Abyssinian,American Shorthair,American Bobtail,American Bobtail,American Shorthair,Abyssinian
168,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
169,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
170,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
171,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
172,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
173,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
174,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
175,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
176,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
177,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
178,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
179,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
180,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
181,Abyssinian,American Curl,American Bobtail,American Shorthair,American Shorthair,Abyssinian
182,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
183,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,Abyssinian
184,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
185,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
186,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,Abyssinian
187,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
188,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
189,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
190,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,Abyssinian
191,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
192,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
193,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
194,Abyssinian,American Curl,American Bobtail,American Curl,American Shorthair,Abyssinian
195,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
196,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
197,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,Abyssinian
198,Abyssinian,American Shorthair,American Bobtail,American Shorthair,American Shorthair,Abyssinian
199,Abyssinian,American Shorthair,American Bobtail,American Shorthair,American Shorthair,Abyssinian
200,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
201,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
202,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
203,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,Abyssinian
205,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
206,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
207,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
208,Abyssinian,American Curl,American Bobtail,American Curl,American Shorthair,Abyssinian
209,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,Abyssinian
210,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
211,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,Abyssinian
214,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
215,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
216,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
217,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,Abyssinian
218,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,Abyssinian
219,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,Abyssinian
220,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
221,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,Abyssinian
224,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Curl,Abyssinian
225,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,Abyssinian
226,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
227,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
228,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,Abyssinian
230,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,Abyssinian
231,Abyssinian,American Shorthair,Abyssinian,American Bobtail,American Curl,Abyssinian
232,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,Abyssinian
233,Abyssinian,American Curl,American Bobtail,American Curl,American Shorthair,Abyssinian
234,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,Abyssinian
235,Abyssinian,American Curl,American Bobtail,American Curl,American Shorthair,Abyssinian
236,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,Abyssinian
237,Abyssinian,Abyssinian,American Bobtail,American Curl,American Curl,Abyssinian
260,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
261,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
264,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
266,Abyssinian,American Bobtail,American Bobtail,American Bobtail,American Bobtail,American Bobtail
267,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,American Bobtail
272,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Bobtail
273,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
274,Abyssinian,Abyssinian,Abyssinian,Abyssinian,American Curl,American Bobtail
280,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
281,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
282,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
283,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Shorthair,American Bobtail
284,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Curl,American Bobtail
285,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Curl,American Bobtail
